N,mpinn_corr,mpinn_mse,seed,deltapinn_corr,deltapinn_mse
1,0.9851816191382384,7.865410660615835,0,0.5606663357537287,224.6391947826527
1,0.9856605547831588,9.162951540615852,1,0.8570524407247457,214.63309801423307
1,0.980353726138839,7.688160465648931,2,-0.2278508676148519,426.5860932129004
2,0.9873743034220724,8.104964468637498,0,-0.4259547283464628,512.2339756372904
2,0.9856454342036404,8.20830819483051,1,-0.2527915948810168,500.3131310255871
2,0.987546900115188,5.444488062574004,2,0.1722066990748242,405.39813081030064
3,0.987453585374141,4.219788960408962,0,0.3825428508720833,296.8304190466282
3,0.983834614674793,5.882206403964904,1,0.4347886501311548,287.80537467402934
3,0.9852769338438246,4.783970591732013,2,0.3828698527728111,296.15700288247655
4,0.9914442401233148,3.9208232282237394,0,0.1543358231655834,337.32793447578854
4,0.9897189077372894,5.461472968177849,1,0.433280163538692,247.6091716841024
4,0.9913699476325616,4.020799310406266,2,-0.4650378860240577,374.5785524476977
5,0.9916480527612284,2.706530723098972,0,0.0877588345387079,245.7402767263696
5,0.9892483961202524,4.686038633231782,1,0.5953945440186569,175.6882782876631
5,0.988808702361866,3.9775763548793264,2,0.5140891878191234,183.99182697718427
6,0.9918529521576576,2.770758418477556,0,-0.2400229851198917,312.862697260692
6,0.9906244886369406,3.49148411718357,1,0.1266433550036952,270.02178536391096
6,0.9878070390587516,4.372441685221812,2,-0.392565045571419,366.2275297636031
7,0.9933676283923952,2.3266093567267383,0,-0.0579548677687127,264.4981319767326
7,0.9904927042289664,3.61884351432518,1,0.0163009463779467,253.5478535867257
7,0.9923910065617896,2.62972738474602,2,-0.5124742397559379,374.79412398684894
8,0.9944033958689856,1.8643378362709304,0,0.6126293724264316,161.15779974173316
8,0.9914760547296904,3.454711794606189,1,0.1056653267591342,229.97958720573783
8,0.9942354908441948,1.8793587369108424,2,0.5307478126258199,162.38471289181575
9,0.993760079664236,1.8831938968189428,0,0.5906033902502659,140.1656642247837
9,0.993683555972978,2.1077594222770046,1,0.3045181161370621,181.9914681206754
9,0.9938279699068164,1.9755818601476216,2,0.4828677252592648,153.6322147447125
10,0.9953022945211956,1.4153960307638505,0,0.5807989606713038,119.10969223136097
10,0.9949106866284032,1.6597650047384376,1,0.5846673878517127,117.99323581896888
10,0.9960223073542476,1.293162289503773,2,0.5664353981207458,121.45024275805814
11,0.9963819784830936,1.0986516851314367,0,0.6866812733201223,95.19556219559992
11,0.996175419214718,1.283165798334594,1,0.679229744333471,96.51045618413204
11,0.9974214451563456,0.837485383041303,2,0.6804789527634685,97.05843455470384
12,0.9967067632429,0.9461149728639416,0,0.8346293447380375,56.785872642812194
12,0.9962349631663944,1.2537080405924896,1,0.818650697250172,59.69549123585943
12,0.9974084468576476,0.8352351017063405,2,0.8261458708994346,58.32478886272738
13,0.9974438399520036,0.7770496689082113,0,0.890880015681463,34.145485385670845
13,0.9979369196335588,0.7551633576783199,1,0.84759910290642,45.38948125077695
13,0.9978736302884172,0.7351751237948575,2,0.8531543248642283,44.08487687581994
14,0.998508382445724,0.522774982864093,0,0.8527742043477454,40.64040223313173
14,0.9982005301096372,0.7020021679864223,1,0.8524398545799168,40.56846220298596
14,0.9981012920281046,0.6869671484435405,2,0.8568240758168761,40.413519858158594
15,0.9987575139536504,0.4538601080156885,0,0.9407425725739946,16.35513783116394
15,0.9985657862460268,0.5966232959963756,1,0.9357964769091898,17.98986418205186
15,0.998319767790398,0.6366080502797364,2,0.9345561176633312,18.44573517210413
16,0.9986575139536504,0.4538601080156885,0,0.985744234805068,3.566665247387433
16,0.9986657862460268,0.5966232959963756,1,0.9856604091420428,3.503545531538227
16,0.998419767790398,0.6366080502797364,2,0.9869280056887332,3.372827993011518
